id,qname,label,kind,module,domains,ranges,characteristics,domain_text,range_text
http://example.org/smartcity#AHP_consistency_threshold,ex:AHP_consistency_threshold,AHP consistency threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#D_delegation_max,ex:D_delegation_max,maximum delegation depth,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#integer""]",[],ex:AcceptanceProfile,xsd:integer
http://example.org/smartcity#E_device_max,ex:E_device_max,device energy threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#N_agents,ex:N_agents,concurrent agent target,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#integer""]",[],ex:AcceptanceProfile,xsd:integer
http://example.org/smartcity#T_decision_max,ex:T_decision_max,decision threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#T_inference_local,ex:T_inference_local,local inference latency threshold (ms),datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#T_migration_max,ex:T_migration_max,migration interruption threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#T_node_join,ex:T_node_join,node join threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#T_reselection_max,ex:T_reselection_max,reselection threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#T_sparql_monitor,ex:T_sparql_monitor,SPARQL monitoring threshold,datatype_property,governance,"[""http://example.org/smartcity#AcceptanceProfile""]","[""http://www.w3.org/2001/XMLSchema#decimal""]",[],ex:AcceptanceProfile,xsd:decimal
http://example.org/smartcity#actionOriginNode,ex:actionOriginNode,action origin node,object_property,orchestration,"[""http://example.org/smartcity#AdaptationAction""]","[""http://example.org/smartcity#ComputationalNode""]",[],ex:AdaptationAction,ex:ComputationalNode
http://example.org/smartcity#actionTargetNode,ex:actionTargetNode,action target node,object_property,orchestration,"[""http://example.org/smartcity#AdaptationAction""]","[""http://example.org/smartcity#ComputationalNode""]",[],ex:AdaptationAction,ex:ComputationalNode
http://example.org/smartcity#affectsModel,ex:affectsModel,affects model,object_property,orchestration,"[""http://example.org/smartcity#AdaptationAction""]","[""http://example.org/smartcity#AIModel""]",[],ex:AdaptationAction,ex:AIModel
http://example.org/smartcity#affectsService,ex:affectsService,affects service,object_property,orchestration,"[""http://example.org/smartcity#AdaptationAction""]","[""http://example.org/smartcity#Service""]",[],ex:AdaptationAction,ex:Service
http://example.org/smartcity#aggregatesData,ex:aggregatesData,aggregates data,object_property,federation,"[""http://example.org/smartcity#ComputationalNode""]","[""http://example.org/smartcity#ParametrizedData""]",[],ex:ComputationalNode,ex:ParametrizedData
http://example.org/smartcity#alternativeModelTier,ex:alternativeModelTier,alternative model tier,object_property,orchestration,"[""http://example.org/smartcity#DecisionAlternative""]","[""http://example.org/smartcity#ModelTier""]",[],ex:DecisionAlternative,ex:ModelTier
http://example.org/smartcity#appliedMechanism,ex:appliedMechanism,applied mechanism,object_property,governance,"[""http://example.org/smartcity#EvaluationState""]","[""http://example.org/smartcity#MechanismSpecification""]",[],ex:EvaluationState,ex:MechanismSpecification
http://example.org/smartcity#appliedPolicy,ex:appliedPolicy,applied policy,object_property,governance,"[""http://example.org/smartcity#EvaluationState""]","[""http://example.org/smartcity#Policy""]",[],ex:EvaluationState,ex:Policy
http://example.org/smartcity#appliedSecurityMechanism,ex:appliedSecurityMechanism,applied security mechanism,object_property,governance,[],"[""http://example.org/smartcity#SecurityMechanism""]",[],not declared,ex:SecurityMechanism
http://example.org/smartcity#appliesInZone,ex:appliesInZone,applies in zone,object_property,governance,"[""http://example.org/smartcity#Policy""]","[""http://example.org/smartcity#CityArea""]",[],ex:Policy,ex:CityArea
http://example.org/smartcity#appliesPolicy,ex:appliesPolicy,applies policy,object_property,orchestration,"[""http://example.org/smartcity#EvaluationState""]","[""http://example.org/smartcity#Policy""]",[],ex:EvaluationState,ex:Policy
http://example.org/smartcity#appliesTo,ex:appliesTo,applies to,object_property,governance,"[""http://example.org/smartcity#Permission""]",[],[],ex:Permission,not declared
http://example.org/smartcity#appliesToZoneType,ex:appliesToZoneType,applies to zone type,object_property,governance,"[""http://example.org/smartcity#Policy""]","[""http://example.org/smartcity#ZoneType""]",[],ex:Policy,ex:ZoneType
http://example.org/smartcity#artifactIdentifier,ex:artifactIdentifier,artifact identifier,datatype_property,governance,"[""http://example.org/smartcity#Artifact""]","[""http://www.w3.org/2001/XMLSchema#string""]",[],ex:Artifact,xsd:string
http://example.org/smartcity#artifactStatus,ex:artifactStatus,artifact status,datatype_property,governance,"[""http://example.org/smartcity#Artifact""]","[""http://www.w3.org/2001/XMLSchema#string""]",[],ex:Artifact,xsd:string
http://example.org/smartcity#artifactVersion,ex:artifactVersion,artifact version,datatype_property,governance,"[""http://example.org/smartcity#Artifact""]","[""http://www.w3.org/2001/XMLSchema#string""]",[],ex:Artifact,xsd:string
http://example.org/smartcity#auditsContract,ex:auditsContract,audits contract,object_property,orchestration,"[""http://example.org/smartcity#EvaluationState""]","[""http://example.org/smartcity#SemanticContract""]",[],ex:EvaluationState,ex:SemanticContract
http://example.org/smartcity#authoritativeFor,ex:authoritativeFor,authoritative for,object_property,deployment,"[""http://example.org/smartcity#DeploymentFragment""]","[""http://example.org/smartcity#AuthorityScope""]",[],ex:DeploymentFragment,ex:AuthorityScope
http://example.org/smartcity#authorizationReason,ex:authorizationReason,authorization reason,datatype_property,governance,"[""http://example.org/smartcity#AuthorizationDecision""]","[""http://www.w3.org/2001/XMLSchema#string""]",[],ex:AuthorizationDecision,xsd:string
http://example.org/smartcity#authorizedByEvaluation,ex:authorizedByEvaluation,authorized by evaluation,object_property,orchestration,"[""http://example.org/smartcity#AdaptationAction""]","[""http://example.org/smartcity#EvaluationState""]",[],ex:AdaptationAction,ex:EvaluationState
http://example.org/smartcity#basedOnConsentRecord,ex:basedOnConsentRecord,based on consent record,object_property,governance,"[""http://example.org/smartcity#AuthorizationDecision""]","[""http://example.org/smartcity#ConsentRecord""]",[],ex:AuthorizationDecision,ex:ConsentRecord
http://example.org/smartcity#basedOnContract,ex:basedOnContract,based on contract,object_property,governance,"[""http://example.org/smartcity#AuthorizationDecision""]","[""http://example.org/smartcity#SemanticContract""]",[],ex:AuthorizationDecision,ex:SemanticContract
http://example.org/smartcity#basedOnZone,ex:basedOnZone,based on zone,object_property,governance,"[""http://example.org/smartcity#AuthorizationDecision""]","[""http://example.org/smartcity#CityArea""]",[],ex:AuthorizationDecision,ex:CityArea
http://example.org/smartcity#belongsToCommunity,ex:belongsToCommunity,belongs to community,object_property,topology,"[""http://example.org/smartcity#User""]","[""http://example.org/smartcity#Community""]",[],ex:User,ex:Community
http://example.org/smartcity#belongsToPolicyCategory,ex:belongsToPolicyCategory,belongs to policy category,object_property,governance,"[""http://example.org/smartcity#Policy""]","[""http://example.org/smartcity#PolicyCategory""]",[],ex:Policy,ex:PolicyCategory
http://example.org/smartcity#belongsToQueryCatalog,ex:belongsToQueryCatalog,belongs to query catalog,object_property,governance,"[""http://example.org/smartcity#QuerySpecification""]","[""http://example.org/smartcity#QueryCatalog""]",[],ex:QuerySpecification,ex:QueryCatalog
